text,category
"Доброго дня!
За надцятою спробою мені вдалося зареєструваися на сайті .Система повідомила ,що для підтвердження потрібно пройти по посиланню,яке надійшло мені на пошту і що це посилання дійсне одну добу. Проблема в тому що на пошту мені нічого так і не надійшло. Допоможіть з вирішенням даної проблемию.Спасибі.",SiteAndCoins
"Доброго дня,

Я зайшла до порталу, однак не змогла перевірити та відредагувати номер телефону, бо не змогла взагалі знай ти картки нашого підприємства. Print Screen нижче.",Hotline
"Доброго дня.
Прошу Вас надати можливість взяти участь у робочій зустрічі в рамках проекту Спліт з питань складання та подання звітності  НФУ до Національного банку України",Hotline
"Hello Portal,
 Прошу рассмотреть аналитику корректности справочника KL_D020,
 который размещен в API и в виде excel файла на сайте НБУ.
 О     результатах     рассмотрения    обращения    прошу   уведомить
 обратным  письмом.
  З повагою,",Hotline
"Добрый день !
Не подскажите телефон отдела,который рассчитывает и выкладывает на сайт НБУ в раздел 
Наглядова статистика_економічні нормативи_економічні нормативи та ліміти відкритоївалютної позиції
Хочу проконсультироваться...
Спасибо !",Hotline
"Доброго вечора!

Виникло питання стосовно коректності можливих сполучень в довіднику
KOD_07_1 для рахунків 1811, 1819 в частины параметру S083:
відповідно до внутрішніх документів банку, що регламентують порядок оцінки кредитного ризику, Банк оцінює дебіторську заборгованість на індивідуальній основі, що дозволено вимогами Постанови Правління НБУ №
351 (тобто S083 = 1)

В довіднику KOD_07_1 для рахунку 1819/1811 S083 = 2 (при S080 = K, L ) При прийомі файлу 07Х на порталі НБУ помилка:
 Метрика T100=7000000. Неможливе сполучення KOD_07_1 Для аналізу: 
KU=20 EKP=A07F84 T020=1 R020=1819 R011=4 R013=0 S080=K S083=1 S130=90
F037=71 F083=11 FBM=#

Вважаємо, що правила для контролю можливих сполучень потребують уточнення з урахуванням вимог Правління НБУ № 351.


Дякуємо!",Hotline
"Добрий день, пришліть будь ласка протокол файлу 07Х
дякую",Hotline
"Здравствуйте, как можно взять информацию о настоящих компаниях МФО. Если можно то пришлите её с ответом на почту .",Hotline
"Добрий день.
При створенні GET запиту про завантаженню інформації щодо проходження контролів за файлами виникає помилка: «{""exception"":""null""}».
При цьому, за запитами авторизації, отримання переліку звітів, переліку файлів, довідників – запити обробляються коректно.
Підкажіть, в чому може бути причина? Можливо, інформація за контролями в режимі API наразі недоступна?
Дякуємо.",Hotline
"Доброго дня,

Потрібна Ваша допомога. Я скачав Додаток ""Монети України""
Інформативно все працює добре. Але для замовлення онлайн потрібно увійти в систему. При скачувані не запитувало про створення логіна і паролю. відповідно увійти не можу. Реєстраційна форма відсутня. Звернутися на підтримку - Обробка запитів громадян також не є можливим так як видає помилку.

Яким Чином можу увійти в систему і повноцінно користуватися додатком?

Дякую за розуміння і сподіваюся на допомогу.",SiteAndCoins
Добрый день.пришло подтверждение о регистрации на почту.перешол по сылке и выбило ошибку.что делать?,SiteAndCoins
"Не можливо зарєгеструватися, пише невірний логін,",SiteAndCoins
Забув старий пароль. Прошу надати новий ,SiteAndCoins
"Добрый день подскажите как пройти проверку, что я не робот",SiteAndCoins
"Добрый день! Я заказал набор монет в г Черновцы, можно его отправить сразу в г Полтава.
Спасибо.",SiteAndCoins
"Ще раз добрий день, Адміністраторе.

Мене звати , браузер - Chrome, операціяйна система - Mac OC, роутер - TPLINK WR940N.
Я точно не робот - чому я бачу це повідомлення після того як ввів кількість монет і натиснув підтвердити?
При цьому браузер на якийсь час наче підвисає.

З повагою,",SiteAndCoins
"Доброго ранку, забула логін до кабінету. Допоможіть відновити доступ. ",SiteAndCoins
